Isotope,counts
1000010020,62806
1000060130,672
1000060140,8
1000070150,183
1000130280,102829
1000140290,1409
1000140300,52
1000140310,48
1000160330,159
1000160350,3
1000170360,2294593
1000170380,7539
1000240510,166926
1000240530,181207
1000240540,427898
1000240550,2504
1000260550,115002
1000260570,2039818
1000260580,45051
1000260590,3035
1000280590,334890
1000280610,74365
1000280620,3402
1000280630,63466
1000280650,1550
1000541250,41873
1000541270,865
1000541290,18755
1000541300,1020122
1000541310,32750
1000541320,3250594
1000541330,25329
1000541350,5114
1000541370,3693
